"package","version","hash","package@version","reproducible","analysis","decision-tree","naive-bayes","svm","hash_classifier","","","","","","","","","","","","","","","","",""
"@tanbo/di","1.0.1","ad506ce6d0454a2793457b10b2a059b5","@tanbo/di@1.0.1","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"dsr-package-bobac-noria-souks-guest","1.0.1","6bcf15e8c793e5b101fc31d8da68361d","dsr-package-bobac-noria-souks-guest@1.0.1","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","",""
"ecs-ge","0.0.2","1cc06f8c080962c699b019043eb8c0c2","ecs-ge@0.0.2","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"kb-toolbox","1.0.0","487e4432d2146fa210e1c6f3c0a44077","kb-toolbox@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","",""
"mailru-auth-gate","1.9999.0","602a60788c9ea06d748f22aca735cf86","mailru-auth-gate@1.9999.0","no","malicious","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"mailru-auth-gate","3.9999.0","602a60788c9ea06d748f22aca735cf86","mailru-auth-gate@3.9999.0","no","malicious","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"mailru-auth-gate","4.9999.0","602a60788c9ea06d748f22aca735cf86","mailru-auth-gate@4.9999.0","no","malicious","Yes","No","Yes","No","","","","","","","","","","","","","","","","",""
"mailru-auth-gate","5.9999.0","602a60788c9ea06d748f22aca735cf86","mailru-auth-gate@5.9999.0","no","malicious","Yes","No","Yes","No","","","","","","","","","","","","","","","","",""
"mailru-auth-gate","9999.9999.0","602a60788c9ea06d748f22aca735cf86","mailru-auth-gate@9999.9999.0","no","malicious","Yes","No","Yes","No","","","","","","","","","","","","","","","","",""
"next-mdx-builder","0.4.1","15fa29cb3d2b847eb8abbc524613a632","next-mdx-builder@0.4.1","yes","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"node-red-contrib-mongoql","0.1.3","00e94a683f074b13e02f036248ad3fab","node-red-contrib-mongoql@0.1.3","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"npgj","1.0.0","9e26b4a54c75e0bd8573ae3abefe83be","npgj@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","",""
"react-native-avatar-crop","0.0.2","ccaccc13940c04b6e79a6b0d0a7e9ccd","react-native-avatar-crop@0.0.2","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"react-uv-wizard","1.0.8","c709981da42cbc54195786ea93cec83c","react-uv-wizard@1.0.8","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"safe-test-component-qk","0.0.2","0f372b79812b66307c3017cb6d136bb2","safe-test-component-qk@0.0.2","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","",""
"shosha","1.0.0","ec92effba4a490a9af40098cb80b31c2","shosha@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","",""
"simple-svelte-skeleton","1.0.2","cc543ab402f58284e61be7041b0526f4","simple-svelte-skeleton@1.0.2","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
"typescript-generics","1.0.2","e028c8e593cd88b044a18e10d301b0b8","typescript-generics@1.0.2","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","",""
