"package","version","hash","package@version","reproducible","analysis","decision-tree","naive-bayes","svm","hash_classifier","","","","","","","","","","","","","","","","","",""
"npm-greenbot","0.4.0","30afeffafd3ace29297e762137922d9c","npm-greenbot@0.4.0","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"npm-sebi-test-package","1.0.1","e7b2aae8e96d99f0a8dd0a42ce87180a","npm-sebi-test-package@1.0.1","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"oglivy","0.0.0","eb1cea02dc7aa5b1347b5deb40555e2c","oglivy@0.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"pearw","1.0.0","6d5da654f96bd86fe15fb87fe4c09d21","pearw@1.0.0","no","benign","No","Yes","No","No","","","","","","","","","","","","","","","","","",""
"react-preconnect","0.1.11","N/A","react-preconnect@0.1.11","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"rick-first","1.0.0","fc73e4bcf6815b0fece1cd5d9b93d115","rick-first@1.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"serverless-api-boilerplate","0.0.1","86856efd3f745921950953be1533b699","serverless-api-boilerplate@0.0.1","yes","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"sqrl-monorepo","99.99.99","1c10f7e69a4ed5b5af083d1a7a016473","sqrl-monorepo@99.99.99","no","malicious","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"sqrl-website","99.99.99","5ce9a4ce64034b82d770f250e7c6e635","sqrl-website@99.99.99","no","malicious","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"storykit","99.99.99","3d2b177d21df5ed2143a3c748b8af935","storykit@99.99.99","no","malicious","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"strapi-plugin-i18n-labels","1.0.0","125a08da58414b21ffcbee062fbb64ce","strapi-plugin-i18n-labels@1.0.0","yes","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"thelounge-theme-nord","1.1.4","70a054d868b4fbf9085b1708828329e6","thelounge-theme-nord@1.1.4","no","benign","Yes","No","No","No","","","","","","","","","","","","","","","","","",""
"watchlist-widget","1.1.0","985a6171c452781fc63b63a52ec4a7ee","watchlist-widget@1.1.0","no","malicious","Yes","Yes","No","No","","","","","","","","","","","","","","","","","",""
"yook","0.0.0","5121c42b82c9fbde1c40c6d7e5ec61f1","yook@0.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
"zhuangya","0.0.0","eb1cea02dc7aa5b1347b5deb40555e2c","zhuangya@0.0.0","no","benign","No","No","Yes","No","","","","","","","","","","","","","","","","","",""
